CatNo,LengthMax,LengthAxial,WidthMax,WidthBasal,WidthNeck,Thickness,DSA,PSA,WeightActual,Material,PointType1,PointType2,PointType3,Source,Site,Site_Upper,Area_Jennings,County,Exclude_LW
36892,,,,19.5,9.5,,190,180,,CCS,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK5004,26EK5004,Western,Elko,No
36893,,,19.5,19.5,12.5,,190,160,,CCS,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK4997,26EK4997,Western,Elko,No
-25,-39.5,-39.5,16,16,8.5,,190,190,2,CCS,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK4998,26EK4998,Western,Elko,No
36899,28,28.5,19.8,19.8,11,,190,160,2.4,Obsidian,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK4998B,26EK4998B,Western,Elko,No
34700,,55,,,,,,160,1.6,CCS,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK5007,26EK5007,Western,Elko,No
1-95-10,-37.5,-36.5,19,16.5,10,,170,160,1.9,FGV,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK5007,26EK5007,Western,Elko,No
54-9,,,,18,10.5,,,190,1.3,CCS,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.20. Franklin Delta.xlsx,26EK5025,26EK5025,Western,Elko,No
39083,,,16.5,11,,,,,,Obsidian,Humboldt series,Humboldt,Humboldt Series,Table S2.20. Franklin Delta.xlsx,26EK4992,26EK4992,Western,Elko,No
1-90-1,-32,-31,17,14,,,,,,CCS,Humboldt series,Humboldt,Humboldt Series,Table S2.20. Franklin Delta.xlsx,26EK4992,26EK4992,Western,Elko,No
1-92-1,,,17.4,12.5,,,,,,Obsidian,Humboldt series,Humboldt,Humboldt Series,Table S2.20. Franklin Delta.xlsx,26EK5027D,26EK5027D,Western,Elko,No
16-3,,,18.8,16.5,,,,,,CCS,Humboldt series,Humboldt,Humboldt Series,Table S2.20. Franklin Delta.xlsx,26EK5004,26EK5004,Western,Elko,No
1-94-45,,,26,19,,,,,3.1,Obsidian,Humboldt series,Humboldt,Humboldt Series,Table S2.20. Franklin Delta.xlsx,26EK5007,26EK5007,Western,Elko,No
33,23,19.6,13.3,13.3,7.8,2.5,185,153,,Opalite,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N33E9,TQ-N33E9,Western,Elko,No
49,25.9,25.9,13.1,7.9,5.8,2,152,119,,Obsidian,Rosegate series,Rosegate,Rosegate Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-ML-3,TQ-ML-3,Western,Elko,No
50,25.2,25.2,19.7,9.1,7.3,3,115,103,,Opalite,Rosegate series,Rosegate,Rosegate Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-ML-3,TQ-ML-3,Western,Elko,No
38,17.8,17.8,16.9,6.9,6.1,4,123,112,,Opalite,Rosegate series,Rosegate,Rosegate Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N24E7,TQ-N24E7,Western,Elko,No
7,,,19.8,9.4,8.8,6,165,129,,Opalite,Rosegate series,Rosegate,Rosegate Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E26,TQ-N54E26,Western,Elko,No
8,27.1,27.1,15.7,8.5,6.7,4,175,116,,Obsidian,Rosegate series,Rosegate,Rosegate Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E26,TQ-N54E26,Western,Elko,No
1,32.1,32.1,15.2,8.7,6.4,3,134,119,,Opalite,Rosegate series,Rosegate,Rosegate Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E28,TQ-N54E28,Western,Elko,No
18,35.3,35.3,19.1,11,10.5,4,135,119,,Obsidian,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N53E19,TQ-N53E19,Western,Elko,No
27,31.2,31.2,17.8,12.9,9.1,7,232,141,,Opalite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N38E29,TQ-N38E29,Western,Elko,No
44,36.2,36.2,26.1,14.7,14.5,3.9,142,132,,Opalite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-KC-4,TQ-KC-4,Western,Elko,No
46,32.3,32.3,21,12.4,10.3,6.1,153,110,,Opalite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-KC-3,TQ-KC-3,Western,Elko,No
52,30.1,30.1,20.8,20,13.2,7,160,130,,Opalite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N35E29,TQ-N35E29,Western,Elko,No
2,34.7,32.4,,10.2,9,8,152,114,,Opalite,Elko Eared,Elko Eared,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E26,TQ-N54E26,Western,Elko,No
4,34,29.7,21.8,15.5,10.2,4.5,162,140,2,Opalite,Elko Eared,Elko Eared,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E26,TQ-N54E26,Western,Elko,No
19,39.3,35.5,20.5,13,12.3,5,172,133,,Opalite,Elko Eared,Elko Eared,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N49E4,TQ-N49E4,Western,Elko,No
37,38.8,35.5,24.4,16,13.8,5,154,110,,Opalite,Elko Eared,Elko Eared,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N26E12,TQ-N26E12,Western,Elko,No
40,36.1,32.1,26.5,17,13.5,4,198,117,,Opalite,Elko Eared,Elko Eared,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N39E23,TQ-N39E23,Western,Elko,No
13,,,,17.9,12,4,146,135,,Opalite,Elko series,Elko Series,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N47E26,TQ-N47E26,Western,Elko,No
20,,,20.2,12.5,9.8,5,153,124,,Opalite,Elko series,Elko Series,Elko Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N49E4,TQ-N49E4,Western,Elko,No
28,23.3,23.3,15.8,10,6.7,3,163,56,,Opalite,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N37E12,TQ-N37E12,Western,Elko,No
25,40.1,39,23.4,10.3,9.3,9,160,97,,Opalite,Gatecliff Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N38E29,TQ-N38E29,Western,Elko,No
29,30.3,27.1,17.8,14.9,11.2,6,303,61,,Opalite,Gatecliff Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N36E12,TQ-N36E12,Western,Elko,No
41,31.6,30.3,23.4,9,,5,160,56,,Opalite,Gatecliff Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N18E30,TQ-N18E30,Western,Elko,No
47,46.7,43.1,24.9,11,15.9,4.5,149,72,,Opalite,Gatecliff Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-KC-3,TQ-KC-3,Western,Elko,No
15,32.4,,23.2,10,12.2,5,185,107,,Opalite,Gatecliff series,Gatecliff Series,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N24E15,TQ-N24E15,Western,Elko,No
22,,,24.5,14,13.6,6,164,102,,Opalite,Gatecliff series,Gatecliff Series,Gatecliff Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N47E5,TQ-N47E5,Western,Elko,No
39,38.2,38.2,18.4,18.4,10.3,2,,156,,Opalite,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N48E8,TQ-N48E8,Western,Elko,No
23,37.8,34.2,14.1,13.6,,5,,,,Opalite,Humboldt Basal-notched,Humboldt,Humboldt Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N38E29,TQ-N38E29,Western,Elko,No
30,47,47,24.3,24.3,,7.1,,,,Opalite,Humboldt Basal-notched,Humboldt,Humboldt Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N35E10,TQ-N35E10,Western,Elko,No
12,44.6,39.1,24.4,10,,6,,,,Opalite,Humboldt series,Humboldt,Humboldt Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N48E0,TQ-N48E0,Western,Elko,No
17,45.9,44.5,23.5,8.4,,6,,,,Opalite,Humboldt series,Humboldt,Humboldt Series,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N24E17,TQ-N24E17,Western,Elko,No
32,61.8,61.8,27.3,15.9,17.8,6,,,9.9,Opalite,Great Basin Stemmed series,Great Basin Stemmed,Great Basin Stemmed,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N35E8,TQ-N35E8,Western,Elko,No
48*,52.3,52.3,27,17.1,19.6,7.7,,,9.7,FGV,Great Basin Stemmed series,Great Basin Stemmed,Great Basin Stemmed,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N45468E3565,TQ-N45468E3565,Western,Elko,No
21`,50.1,50.1,22.1,13.1,,11,,,,Opalite,Great Basin Stemmed series,Great Basin Stemmed,Great Basin Stemmed,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N48E8,TQ-N48E8,Western,Elko,No
3,,,,,9.6,6,,124,,Opalite,Out of Key,Indeterminate,-,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E26,TQ-N54E26,Western,Elko,No
9,33.4,31.8,13.6,12.3,,3.5,,,,Opalite,Out of Key,Indeterminate,-,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-N54E26,TQ-N54E26,Western,Elko,No
43,19.5,19.5,13.4,,5.4,3,132,108,,Opalite,Out of Key,Indeterminate,-,Table S2.21. Tosawhi Quarries survey.xlsx,TQ-KC-4,TQ-KC-4,Western,Elko,No
621,25,25,-14,-14,7,4.5,185,160,1.4,CCS,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3440,20.3,19.2,-13.5,-13.5,8,3,180,160,0.6,CCS,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-2684,-24.5,-21.6,12.6,12.1,,3.4,,,0.7,Obsidian,Cottonwood Triangular,Cottonwood,Desert Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
Silver Cr.,-37,-37,16,6,4,3,120,120,1,Obsidian,Rosegate series,Rosegate,Rosegate Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
102-2,-38.8,-38.4,13,8.5,8,5,210,130,2.5,Rhyolite,Rosegate series,Rosegate,Rosegate Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3303,-31,-31,21,8,7,4,110,100,1.7,CCS,Rosegate series,Rosegate,Rosegate Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3400-1,-26.1,-26.1,15,8,6,3,120,110,1.1,CCS,Rosegate series,Rosegate,Rosegate Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
Section 11,33,31.4,19,12.5,8.8,5,150,130,3.5,Obsidian,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
101a,-36.7,-36.7,16.5,13,9,6,180,120,3.7,Quartzite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
101b,-37,-35,22.9,-12.9,11.5,6.5,180,110,3.5,Quartzite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
102-1,-30,-28.7,-14.7,-15,10,4,220,150,1.7,Obsidian,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
102-3,-35.4,-33.8,15.5,12.5,10,6,190,115,3.3,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
108-01,-39.5,-38.3,21,18.5,15,6,195,110,5,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
543-LV-3,-27,-25.5,-18.9,-11,7.5,4.2,165,120,,Indeterminate,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
602-3,-36,-36,27.5,17.5,14.5,5.5,135,110,3.8,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
618,-36,-36,23,14.8,13,6,175,110,3.7,Quartzite,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-177-1,-28.1,-26.4,19,12.8,10,4,120,110,1.8,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-177-2,-30.5,-30.5,16.5,10.5,9.8,3,160,120,1.5,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-2726-5,-35,-35,23.5,-13,11,5.5,130,110,3.1,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3031-3,-37.9,-35.5,18.5,18,12,5,200,120,2.3,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3304,-33,-31.7,-20.1,15.5,9,,160,150,2.5,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3374,28,27,16.5,11,9,3.8,130,110,1.5,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3438,-42.5,-40.5,-18.5,-12,7.5,4,150,130,2.5,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3743-F-BC-l,-31.9,-30.8,24,12,11,4,110,110,2.1,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3780,-41,-41,-30,-19,14.6,4,120,120,4.4,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3480-BC-4,-41.5,-41.5,22,13.5,11,5,130,110,4.8,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3815,-53.7,-53.7,24,16,10,5.4,140,135,4.9,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4103,26,26,21,16,12,4,170,130,1.9,Obsidian,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4103-06,29,28.5,-19.5,-11.8,11,4,205,130,2.4,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3452-3,-28.3,-28.3,22,14,11,5,160,120,1.3,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3452-4,25,24,21,12,10.3,5,170,110,2,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3453,-35,-35,23,16,12,5,160,120,3.2,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3453,-33.5,-33.5,19.5,12,9,5,190,110,2.2,CCS,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3454,-33.8,-32.4,-21.5,-16.3,12,5,170,150,2.6,FGV,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-4281,-44,-44,-24.5,15.8,12.8,,160,112,,Indeterminate,Elko Corner Notched,Elko Corner-notched,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
–,-36.7,-32.8,21.5,20,16,8,245,110,5.6,Tuff,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
108-02,-39.5,-36.3,-26.6,19.8,15,6.5,195,110,4.5,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
606,-24.9,-21.6,21,21,18.5,3.5,190,120,1.6,CCS,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
543-LV-3,-47,-43.8,27,-20.5,15.5,6.8,168,132,,Indeterminate,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
3450,33.1,29,22,22,15.5,7.5,230,120,4.5,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
4807,27,24.9,-21,21,13,5,185,140,2.5,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-2733,-30.5,-28.5,-18,-13.5,7,5,,140,2.3,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3031-12,-46.3,-43.1,-18,16,11.5,5,175,120,2.5,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3364,28,26,22,18,15,4,160,120,2,CCS,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3428,-38.5,-34.6,-25.2,17,13,6,140,130,4.3,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3442,-35.7,-31.7,26,17,12.5,6,150,110,3.8,CCS,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3569,-35.3,-29.2,18,18,14,5,240,110,2.4,CCS,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3452-2,-34,-31,34,21.7,17.5,5.5,150,120,4.2,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-4301,56.4,52.5,31,20.3,12.5,4.9,147,127,6,CCS,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-4691,30,28,-23.5,14,12.6,5.9,200,110,3.6,FGV,Elko Eared,Elko Eared,Elko Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
620,-35.9,-35.9,19,10.1,15,6,180,95,2.5,Obsidian,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
46-2733-02,-44,-43,-24.6,8,10.5,5.5,160,70,4.6,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3708,-41.3,-41.3,21,16,15,7,220,100,4.5,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3734-F-BC-4,27,27,21,12.5,12,4.1,160,90,2.4,FGV,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3780-BC-4,-49,-49,-26.8,17,13,6,130,100,6.8,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4103-05,43,42.7,26.5,15.5,15,6,140,100,6.1,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4103-07,-49.6,-49.2,27.5,-14,15,6,160,85,6.5,FGV,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3452-1,-28.3,-28.3,19,11.6,11.5,5,170,100,2.1,FGV,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-2929,-47.2,-46.1,27.5,14.5,14.2,5,140,100,5.4,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
NE Ward Mtn-1,33,33,17,12,11,6,230,100,3.4,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
46-2733-24,-35.7,-34.5,-28,-12.5,-12.3,3.5,125,90,1.4,CCS,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-2924,32,29.5,17,14.5,13.5,7.5,220,90,3.2,Obsidian,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3535,-24.6,-22.1,15,8.3,9,4,210,85,1.2,FGV,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4164-01,51.5,50,24,12,11,5.5,170,95,5.4,FGV,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4177-01,26,23.6,19,11.2,10,4.4,140,100,1.9,CCS,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-5003,33.5,32,22.8,10,13.2,5,180,80,3.5,CCS,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-4819-51-1-1,21.3,18.5,12.5,8.3,8.5,5.1,210,80,1.4,Obsidian,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
–,45.7,43,20,15,17,6,250,85,4.5,FGV,Gateclift Split Stem,Gatecliff Split Stem,Gatecliff Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
620,,,,24.5,9,4.5,,180,1.1,Obsidian,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4103-02,39,34,23,23,14,6,215,160,4,CCS,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-3450,-37.5,-34.6,17.2,17.2,8.6,4.5,200,160,2.4,FGV,Northern Side-notched,Northern Side-notched,Large Side-notched,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
N00T,34,27.5,25,25,,7.5,,,5.7,CCS,Humboldt Basal-notched,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
3031-1,50,46,15,15,,5,,,3.3,CCS,Humboldt Basal-notched,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
46-3815,-44.3,-41.4,19,19,,5,,,3.8,FGV,Humboldt Basal-notched,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
543-SV-1,-46.5,-41.7,17.6,15.4,,5.3,,,4.7,Indeterminate,Humboldt series,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
543-S4-3,-43.8,-42,17.8,11,,5.3,,,,Indeterminate,Humboldt series,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-2636,37,35,23,17,,6.5,,,5.4,FGV,Humboldt series,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-4678,35,32.8,15.2,-12,,5.5,,,3,FGV,Humboldt series,Humboldt,Humboldt Series,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-2726,-37.5,-35.5,-19.5,-12.3,10.9,5,,,3.3,CCS,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-3728,-32.6,-30.1,10.2,9.2,10.2,3.9,,,1.2,CCS,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4113-01,-89,-89,32,21,-18.7,7.5,,,26.6,FGV,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
046-4113-02,-96,-96,31,,,8.5,,,23.9,FGV,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
047-4281,42.4,40,20.6,13.7,,,,,,Indeterminate,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
4806-01,-37.7,-35.4,-21,,-12.4,4.9,220,120,3.4,FGV,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
543-LV-2,38,38,18.2,15.9,7.6,6.1,194,165,,Indeterminate,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
North Bar,33.4,32,21.5,18,17,,205,105,3,Rhyolite,Out of Key,Indeterminate,-,Table S2.22.  BLM Ely District.xlsx,-,-,-,-,No
1246-1,21,18,-15,-15,,3,,165,,CCS,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1246,26LA1246,Western,Lander,No
1246-2,24,23,10,10,,3,,145,0.4,CCS,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1246,26LA1246,Western,Lander,No
1277-4,-22,-16,16,16,,2,,180,,Obsidian,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1277,26LA1277,Western,Lander,No
1277-5,-14,-14,15,15,,3,,155,,CCS,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1277,26LA1277,Western,Lander,No
1251-5,-19,-17,11,11,,3,,150,,CCS,Desert Side Notched,Desert Side-notched,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1251,26LA1251,Western,Lander,No
1246-3,19,12,13,13,,4,,,,CCS,Cottonwood Triangular,Cottonwood,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1246,26LA1246,Western,Lander,No
1246-4,-21,-18,16,16,,3,,,,CCS,Cottonwood Triangular,Cottonwood,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1246,26LA1246,Western,Lander,No
1246-5,-15,-11,12,12,,3,,,,Obsidian,Cottonwood Triangular,Cottonwood,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1246,26LA1246,Western,Lander,No
1277-15,-18,-16,12,12,,4.5,,,,CCS,Cottonwood Triangular,Cottonwood,Desert Series,Table S2.23. Grass Valley.xlsx,26LA1277,26LA1277,Western,Lander,No
